"id","city","date","player_of_match","venue","neutral_venue","team1","team2","toss_winner","toss_decision","winner","result","result_margin","eliminator","method","umpire1","umpire2"
1254058,"Chennai",2021-04-09,"HV Patel","MA Chidambaram Stadium, Chepauk, Chennai",0,"Mumbai Indians","Royal Challengers Bangalore","Royal Challengers Bangalore","field","Royal Challengers Bangalore","wickets",2,"N",NA,"KN Ananthapadmanabhan","Nitin Menon"
1254059,"Mumbai",2021-04-10,"S Dhawan","Wankhede Stadium, Mumbai",0,"Chennai Super Kings","Delhi Capitals","Delhi Capitals","field","Delhi Capitals","wickets",7,"N",NA,"AK Chaudhary","VK Sharma"
1254060,"Chennai",2021-04-11,"N Rana","MA Chidambaram Stadium, Chepauk, Chennai",0,"Kolkata Knight Riders","Sunrisers Hyderabad","Sunrisers Hyderabad","field","Kolkata Knight Riders","runs",10,"N",NA,"KN Ananthapadmanabhan","Nitin Menon"
1254061,"Mumbai",2021-04-12,"SV Samson","Wankhede Stadium, Mumbai",0,"Punjab Kings","Rajasthan Royals","Rajasthan Royals","field","Punjab Kings","runs",4,"N",NA,"AK Chaudhary","S Ravi"
1254062,"Chennai",2021-04-13,"RD Chahar","MA Chidambaram Stadium, Chepauk, Chennai",0,"Mumbai Indians","Kolkata Knight Riders","Kolkata Knight Riders","field","Mumbai Indians","runs",10,"N",NA,"C Shamshuddin","CB Gaffaney"
1254063,"Chennai",2021-04-14,"GJ Maxwell","MA Chidambaram Stadium, Chepauk, Chennai",0,"Royal Challengers Bangalore","Sunrisers Hyderabad","Sunrisers Hyderabad","field","Royal Challengers Bangalore","runs",6,"N",NA,"Nitin Menon","UV Gandhe"
1254064,"Mumbai",2021-04-15,"JD Unadkat","Wankhede Stadium, Mumbai",0,"Delhi Capitals","Rajasthan Royals","Rajasthan Royals","field","Rajasthan Royals","wickets",3,"N",NA,"S Ravi","VK Sharma"
1254065,"Mumbai",2021-04-16,"DL Chahar","Wankhede Stadium, Mumbai",0,"Punjab Kings","Chennai Super Kings","Chennai Super Kings","field","Chennai Super Kings","wickets",6,"N",NA,"AK Chaudhary","AY Dandekar"
1254066,"Chennai",2021-04-17,"KA Pollard","MA Chidambaram Stadium, Chepauk, Chennai",0,"Mumbai Indians","Sunrisers Hyderabad","Mumbai Indians","bat","Mumbai Indians","runs",13,"N",NA,"CB Gaffaney","K Srinivasan"
1254067,"Chennai",2021-04-18,"AB de Villiers","MA Chidambaram Stadium, Chepauk, Chennai",0,"Royal Challengers Bangalore","Kolkata Knight Riders","Royal Challengers Bangalore","bat","Royal Challengers Bangalore","runs",38,"N",NA,"C Shamshuddin","Nitin Menon"
1254068,"Mumbai",2021-04-18,"S Dhawan","Wankhede Stadium, Mumbai",0,"Punjab Kings","Delhi Capitals","Delhi Capitals","field","Delhi Capitals","wickets",6,"N",NA,"AK Chaudhary","PR Reiffel"
1254069,"Mumbai",2021-04-19,"MM Ali","Wankhede Stadium, Mumbai",0,"Chennai Super Kings","Rajasthan Royals","Rajasthan Royals","field","Chennai Super Kings","runs",45,"N",NA,"PR Reiffel","VK Sharma"
1254070,"Chennai",2021-04-20,"A Mishra","MA Chidambaram Stadium, Chepauk, Chennai",0,"Mumbai Indians","Delhi Capitals","Mumbai Indians","bat","Delhi Capitals","wickets",6,"N",NA,"C Shamshuddin","CB Gaffaney"
1254071,"Chennai",2021-04-21,"JM Bairstow","MA Chidambaram Stadium, Chepauk, Chennai",0,"Punjab Kings","Sunrisers Hyderabad","Punjab Kings","bat","Sunrisers Hyderabad","wickets",9,"N",NA,"K Srinivasan","Nitin Menon"
1254072,"Mumbai",2021-04-21,"F du Plessis","Wankhede Stadium, Mumbai",0,"Chennai Super Kings","Kolkata Knight Riders","Kolkata Knight Riders","field","Chennai Super Kings","runs",18,"N",NA,"AY Dandekar","PR Reiffel"
1254073,"Mumbai",2021-04-22,"D Padikkal","Wankhede Stadium, Mumbai",0,"Rajasthan Royals","Royal Challengers Bangalore","Royal Challengers Bangalore","field","Royal Challengers Bangalore","wickets",10,"N",NA,"J Madanagopal","S Ravi"
1254074,"Chennai",2021-04-23,"KL Rahul","MA Chidambaram Stadium, Chepauk, Chennai",0,"Mumbai Indians","Punjab Kings","Punjab Kings","field","Punjab Kings","wickets",9,"N",NA,"C Shamshuddin","Nitin Menon"
1254075,"Mumbai",2021-04-24,"CH Morris","Wankhede Stadium, Mumbai",0,"Kolkata Knight Riders","Rajasthan Royals","Rajasthan Royals","field","Rajasthan Royals","wickets",6,"N",NA,"Navdeep Singh","S Ravi"
1254076,"Mumbai",2021-04-25,"RA Jadeja","Wankhede Stadium, Mumbai",0,"Chennai Super Kings","Royal Challengers Bangalore","Chennai Super Kings","bat","Chennai Super Kings","runs",69,"N",NA,"AK Chaudhary","VK Sharma"
1254077,"Chennai",2021-04-25,"PP Shaw","MA Chidambaram Stadium, Chepauk, Chennai",0,"Delhi Capitals","Sunrisers Hyderabad","Delhi Capitals","bat","Delhi Capitals","tie",NA,"Y",NA,"CB Gaffaney","KN Ananthapadmanabhan"
1254078,"Ahmedabad",2021-04-26,"EJG Morgan","Narendra Modi Stadium, Ahmedabad",0,"Punjab Kings","Kolkata Knight Riders","Kolkata Knight Riders","field","Kolkata Knight Riders","wickets",5,"N",NA,"PR Reiffel","YC Barde"
